ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
801170.SI,20251021,2296.956,2288.818,2299.37,2277.57,2290.342,6.614,0.2888,49818241.45,33744510.522
801170.SI,20251020,2290.342,2269.097,2292.29,2268.13,2259.751,30.591,1.3537,53820499.63,35975598.717
801170.SI,20251017,2259.751,2266.57,2281.03,2258.04,2271.767,-12.016,-0.5289,49664584.59,33296072.031
801170.SI,20251016,2271.767,2268.739,2278.98,2262.7,2267.67,4.097,0.1807,47673423.31,31829907.987
801170.SI,20251015,2267.67,2251.778,2268.86,2243.89,2251.527,16.143,0.717,42992992.5,28179430.452
801170.SI,20251014,2251.527,2246.873,2261.22,2242.91,2240.24,11.287,0.5038,50476664.13,33851943.52
801170.SI,20251013,2240.24,2211.13,2242.45,2211.13,2251.513,-11.273,-0.5007,44437709.23,29738611.953
801170.SI,20251010,2251.513,2226.669,2255.41,2226.669,2231.764,19.749,0.8849,41664479.26,28214321.733
801170.SI,20251009,2231.764,2216.937,2231.85,2201.67,2227.322,4.442,0.1994,40853052.2,27529273.184
801170.SI,20250930,2227.322,2223.27,2229.98,2218.04,2226.414,0.908,0.0408,31518718.29,21148773.012
801170.SI,20250929,2226.414,2221.967,2230.34,2199.65,2224.8,1.614,0.0725,35076043.79,22997138.447
801170.SI,20250926,2224.8,2224.817,2230.62,2218.11,2229.491,-4.691,-0.2104,30212002.26,21066956.981
801170.SI,20250925,2229.491,2244.842,2244.846,2224.1,2251.207,-21.716,-0.9646,37098853.89,24400769.389
801170.SI,20250924,2251.207,2235.47,2256.18,2233.58,2241.582,9.625,0.4294,41251785.47,27362648.091
801170.SI,20250923,2241.582,2243.83,2248.48,2217.49,2249.558,-7.976,-0.3546,50096192.99,32182467.107
801170.SI,20250922,2249.558,2268.274,2268.274,2241.93,2270.853,-21.295,-0.9378,41598576.73,28359862.854
801170.SI,20250919,2270.853,2258.393,2276.01,2256.08,2256.097,14.756,0.654,49592839.82,31868337.014
801170.SI,20250918,2256.097,2288.548,2293.89,2244.9,2291.746,-35.649,-1.5555,65459509.95,37730860.081
801170.SI,20250917,2291.746,2285.6,2297.2,2277.07,2284.718,7.028,0.3076,51975320.93,31840661.452
801170.SI,20250916,2284.718,2268.964,2284.718,2268.87,2267.78,16.938,0.7469,58334177.01,34389227.586
801170.SI,20250915,2267.78,2265.11,2272.83,2257.03,2262.346,5.434,0.2402,42133026.6,27587143.434
801170.SI,20250912,2262.346,2268.941,2275.26,2260.16,2262.434,-0.088,-0.0039,44454826.72,28069352.587
801170.SI,20250911,2262.434,2251.909,2262.434,2238.99,2257.022,5.412,0.2398,35761593.85,25314767.975
801170.SI,20250910,2257.022,2254.355,2262.41,2249.04,2257.568,-0.546,-0.0242,31254553.11,21482425.224
801170.SI,20250909,2257.568,2264.512,2269.5,2248.73,2266.289,-8.721,-0.3848,38806415.7,27104102.735
801170.SI,20250908,2266.289,2230.334,2268.429,2230.334,2225.154,41.135,1.8486,50469004.29,34914454.894
801170.SI,20250905,2225.154,2215.498,2227.07,2200.15,2212.565,12.589,0.569,38599881.6,26288230.5
801170.SI,20250904,2212.565,2209.029,2214.89,2196.66,2208.971,3.594,0.1627,40826506.56,28265942.278
801170.SI,20250903,2208.971,2234.368,2234.37,2204.06,2230.194,-21.223,-0.9516,36942164.02,25308808.126
801170.SI,20250902,2230.194,2246.09,2246.38,2220.27,2244.794,-14.6,-0.6504,46183829.72,31820714.097
